         21357 function calls (21227 primitive calls) in 0.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.024    0.024 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
     11/1    0.000    0.000    0.024    0.024 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        2    0.000    0.000    0.024    0.012 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:71(__add__)
     15/1    0.000    0.000    0.019    0.019 <frozen importlib._bootstrap>:1349(_find_and_load)
     15/1    0.000    0.000    0.019    0.019 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     15/1    0.000    0.000    0.018    0.018 <frozen importlib._bootstrap>:911(_load_unlocked)
     10/1    0.000    0.000    0.018    0.018 <frozen importlib._bootstrap_external>:993(exec_module)
     36/2    0.000    0.000    0.018    0.009 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     10/1    0.000    0.000    0.018    0.018 {built-in method builtins.exec}
        1    0.000    0.000    0.018    0.018 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py:1(<module>)
      7/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      4/1    0.000    0.000    0.018    0.018 {built-in method builtins.__import__}
        1    0.000    0.000    0.017    0.017 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:1(<module>)
        1    0.000    0.000    0.013    0.013 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\socket.py:1(<module>)
       15    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.003    0.001    0.005    0.002 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:13(_simplify)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
       28    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.001    0.001    0.004    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\pickle.py:1(<module>)
       54    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       54    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        6    0.000    0.000    0.003    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\enum.py:918(_convert_)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    11076    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:1(<module>)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
        2    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
      135    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       10    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        6    0.001    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\enum.py:1707(convert_class)
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\selectors.py:1(<module>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
