         2004299 function calls (2004158 primitive calls) in 0.921 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.921    0.921 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
     11/1    0.000    0.000    0.909    0.909 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        2    0.000    0.000    0.909    0.454 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:71(__add__)
        2    0.536    0.268    0.909    0.454 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:13(_simplify)
  2000073    0.372    0.000    0.372    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.011    0.011 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:50(_load_cache)
      5/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
      5/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      5/1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
      4/1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap_external>:993(exec_module)
     11/2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      4/1    0.000    0.000    0.009    0.009 {built-in method builtins.exec}
        1    0.000    0.000    0.009    0.009 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:1(<module>)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1524(find_spec)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.004    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:1(<module>)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1597(find_spec)
        8    0.000    0.000    0.003    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
        8    0.000    0.000    0.003    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
        7    0.000    0.000    0.003    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:745(compile)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.002    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py:1(<module>)
        7    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:969(parse)
     14/7    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
     16/7    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        7    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:578(_code)
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.listdir}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     27/7    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
