         37214 function calls (36862 primitive calls) in 0.305 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.305    0.305 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.305    0.305 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.304    0.304 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:93(evaluate_sum_parallel)
        1    0.000    0.000    0.280    0.280 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.249    0.249 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
       17    0.000    0.000    0.162    0.010 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:208(__call__)
        1    0.000    0.000    0.162    0.162 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:680(_terminate_pool)
      6/5    0.001    0.000    0.152    0.030 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:253(poll)
        1    0.000    0.000    0.152    0.152 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
      6/5    0.000    0.000    0.151    0.030 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:342(_poll)
        6    0.000    0.000    0.151    0.025 {built-in method _winapi.PeekNamedPipe}
      3/1    0.009    0.003    0.151    0.151 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
      3/1    0.000    0.000    0.151    0.151 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
       19    0.000    0.000    0.150    0.008 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:202(send)
      3/1    0.000    0.000    0.150    0.150 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        1    0.000    0.000    0.150    0.150 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:527(_handle_tasks)
       24    0.000    0.000    0.150    0.006 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:284(_send_bytes)
       24    0.000    0.000    0.149    0.006 {built-in method _winapi.WriteFile}
        2    0.000    0.000    0.139    0.069 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:500(_wait_for_updates)
        1    0.000    0.000    0.139    0.139 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000    0.138    0.138 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:767(get)
        1    0.000    0.000    0.138    0.138 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:764(wait)
        5    0.000    0.000    0.138    0.028 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:246(recv)
      7/5    0.000    0.000    0.137    0.027 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:310(_recv_bytes)
        1    0.000    0.000    0.085    0.085 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.085    0.085 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       16    0.000    0.000    0.084    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:110(start)
       16    0.000    0.000    0.083    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:334(_Popen)
       16    0.001    0.000    0.082    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
       16    0.074    0.005    0.074    0.005 {built-in method _winapi.CreateProcess}
     49/5    0.000    0.000    0.053    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
     49/5    0.000    0.000    0.053    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     47/5    0.000    0.000    0.051    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
     29/5    0.000    0.000    0.051    0.010 <frozen importlib._bootstrap_external>:993(exec_module)
   108/10    0.000    0.000    0.049    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     31/5    0.000    0.000    0.049    0.010 {built-in method builtins.exec}
        1    0.000    0.000    0.029    0.029 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:1(<module>)
    22/14    0.000    0.000    0.026    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.026    0.009 {built-in method builtins.__import__}
       49    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.019    0.019 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py:1(<module>)
        1    0.000    0.000    0.018    0.018 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:1(<module>)
       37    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       37    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.017    0.017 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:1(<module>)
       93    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.015    0.015 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\tempfile.py:1(<module>)
       29    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.013    0.013 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:1(<module>)
      161    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      161    0.011    0.000    0.011    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.011    0.011 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1(<module>)
