Expression,Base,Function,Cumulative Time (s),Calls,Time per Call (s),Profile Report Path,CPU Usage (%),Duration (s)
j^e,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_e_base_10_20250627_163819.txt,,
j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_f_base_10_20250627_163819.txt,50.0,0.0012466907501220703
j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_10_20250627_163819.txt,,
j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_10_20250627_163819.txt,,
j^f,10,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_10_20250627_163819.txt,,
j^g,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_g_base_10_20250627_163819.txt,48.75,0.0012466907501220703
j^g,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_g_base_10_20250627_163819.txt,,
j^g,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_g_base_10_20250627_163819.txt,,
j^a + j^b + j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.006,1,0.006,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_10_20250627_163819.txt,47.9,0.006105661392211914
j^a + j^b + j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.003,3,0.001,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_10_20250627_163819.txt,,
j^a + j^b + j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.002,3,0.0006666666666666666,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_10_20250627_163819.txt,,
j^a + j^b + j^c,10,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.002,3,0.0006666666666666666,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_10_20250627_163819.txt,,
j^d + j^e + j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.101,1,0.101,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_10_20250627_163819.txt,72.7,0.10095095634460449
j^d + j^e + j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:93(__add__),0.096,2,0.048,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_10_20250627_163819.txt,,
j^d + j^e + j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:15(_simplify),0.096,2,0.048,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_10_20250627_163819.txt,,
j^a + j^b + j^c + j^d + j^e + j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.487,1,0.487,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_10_20250627_163819.txt,60.2,0.4867672920227051
j^a + j^b + j^c + j^d + j^e + j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:93(__add__),0.482,5,0.0964,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_10_20250627_163819.txt,,
j^a + j^b + j^c + j^d + j^e + j^f,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:15(_simplify),0.481,5,0.0962,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_10_20250627_163819.txt,,
