         26306 function calls (25943 primitive calls) in 0.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.331    0.017 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:202(send)
        1    0.000    0.000    0.307    0.307 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.307    0.307 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.306    0.306 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:83(evaluate_sum_parallel)
        1    0.000    0.000    0.287    0.287 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.264    0.264 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
       17    0.000    0.000    0.179    0.011 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:208(__call__)
        1    0.000    0.000    0.178    0.178 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:680(_terminate_pool)
        1    0.000    0.000    0.167    0.167 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
        1    0.001    0.001    0.167    0.167 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000    0.166    0.166 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
      3/1    0.000    0.000    0.166    0.166 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
      3/1    0.007    0.002    0.166    0.166 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        1    0.000    0.000    0.166    0.166 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:527(_handle_tasks)
