         6732 function calls (6694 primitive calls) in 0.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.294    0.294 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.294    0.294 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.292    0.292 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:83(evaluate_sum_parallel)
        1    0.000    0.000    0.292    0.292 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.292    0.292 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
       17    0.000    0.000    0.221    0.013 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:208(__call__)
        1    0.000    0.000    0.220    0.220 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:680(_terminate_pool)
        7    0.003    0.000    0.203    0.029 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:253(poll)
        1    0.000    0.000    0.203    0.203 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
        7    0.000    0.000    0.201    0.029 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:342(_poll)
        7    0.001    0.000    0.200    0.029 {built-in method _winapi.PeekNamedPipe}
      3/1    0.000    0.000    0.200    0.200 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
      3/1    0.000    0.000    0.200    0.200 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
       24    0.000    0.000    0.199    0.008 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:284(_send_bytes)
        5    0.000    0.000    0.199    0.040 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\queues.py:391(put)
        5    0.000    0.000    0.199    0.040 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:182(send_bytes)
       24    0.013    0.001    0.199    0.008 {built-in method _winapi.WriteFile}
        1    0.000    0.000    0.185    0.185 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000    0.185    0.185 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:767(get)
        5    0.000    0.000    0.182    0.036 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:246(recv)
      7/5    0.000    0.000    0.182    0.036 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:310(_recv_bytes)
        7    0.000    0.000    0.182    0.026 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
        1    0.000    0.000    0.072    0.072 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.072    0.072 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       16    0.000    0.000    0.071    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:110(start)
       16    0.000    0.000    0.070    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:334(_Popen)
       16    0.000    0.000    0.070    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
       16    0.062    0.004    0.062    0.004 {built-in method _winapi.CreateProcess}
      203    0.000    0.000    0.016    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:103(wait)
      203    0.015    0.000    0.015    0.000 {built-in method _winapi.WaitForSingleObject}
        3    0.000    0.000    0.015    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:142(join)
       32    0.000    0.000    0.005    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:58(dump)
       56    0.002    0.000    0.004    0.000 {method 'dump' of '_pickle.Pickler' objects}
        4    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
        4    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
        1    0.000    0.000    0.002    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:764(wait)
    27/20    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:128(terminate)
       64    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:1161(reduce_pipe_connection)
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:124(terminate)
       16    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
      200    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:121(poll)
       19    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:202(send)
      118    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
       64    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:106(__init__)
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:29(_close_handles)
       56    0.001    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:38(__init__)
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\spawn.py:83(get_command_line)
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:61(_cleanup)
       24    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:48(dumps)
       64    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:224(exitcode)
        3    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:500(_wait_for_updates)
       16    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\spawn.py:160(get_preparation_data)
        3    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:333(_maintain_pool)
        3    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:289(_join_exited_workers)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:110(SimpleQueue)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\queues.py:361(__init__)
       32    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\synchronize.py:100(__getstate__)
        7    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:1032(wait)
       64    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:179(Process)
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
       32    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:350(__reduce__)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:345(_setup_queues)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:552(Pipe)
       57    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:80(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:71(__add__)
       16    0.000    0.000    0.000    0.000 {built-in method _io.open}
        2    0.000    0.000    0.000    0.000 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:13(_simplify)
       16    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      400    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        5    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\queues.py:374(empty)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:506(_handle_workers)
      3/1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:975(start)
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:300(_args_from_interpreter_flags)
       96    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:527(_handle_tasks)
       32    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:99(duplicate_for_child)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:70(arbitrary_address)
      160    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:366(get_spawning_popen)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:284(_get_worker_sentinels)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\tempfile.py:400(mktemp)
       72    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:153(is_alive)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:573(_handle_results)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:616(set)
       32    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:71(duplicate)
      665    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:115(Pool)
       64    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:372(assert_spawning)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_parser.py:7(tokenize_expression)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       17    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:189(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:884(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:809(_set)
       16    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
    17/15    0.000    0.000    0.000    0.000 {built-in method _winapi.ReadFile}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:65(Lock)
       32    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\queues.py:377(__getstate__)
