         15508 function calls (15417 primitive calls) in 0.014 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
     11/1    0.000    0.000    0.014    0.014 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        2    0.000    0.000    0.013    0.007 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:71(__add__)
      9/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      9/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:911(_load_unlocked)
      7/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:993(exec_module)
     22/2    0.000    0.000    0.007    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      7/1    0.000    0.000    0.007    0.007 {built-in method builtins.exec}
        1    0.000    0.000    0.007    0.007 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py:1(<module>)
      6/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      4/1    0.000    0.000    0.007    0.007 {built-in method builtins.__import__}
        1    0.000    0.000    0.006    0.006 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:1(<module>)
        2    0.003    0.001    0.005    0.002 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:13(_simplify)
        1    0.000    0.000    0.004    0.004 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\pickle.py:1(<module>)
        9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
